Shoulder Press ,1,Trapezius;Front Delts;Deltoids;Back Delts;Triceps;,0.25;0.75;0.75;0.5;0.5;,10,20,5.0
Military Press,0,Trapezius;Front Delts;Deltoids;Triceps;,0.25;1.0;0.75;0.5;,10,15,5.0
Lat Pull Machine,1,Trapezius;Biceps;Latissimus dorsi;,0.5;0.5;1.0;,11,16,10.0
Cable curl (stretch),2,Biceps;,1.0;,10,16,2.5
Preacher Curl,0,Biceps;Forearms;,1.0;0.25;,10,16,2.0
Rope row,2,Trapezius;Biceps;Back Delts;Latissimus dorsi;Forearms;,0.25;0.25;0.25;1.0;0.25;,10,16,2.5
Hip Thrust,1,Abdominals;Latissimus dorsi;Gluteus maximus;Hamstrings;Quadriceps;,0.25;0.25;1.0;0.5;0.25;,10,30,10.0
Bicep Curls,0,Biceps;Forearms;,1.0;0.25;,10,15,2.0
Horse Kickback,2,Gluteus maximus;Hamstrings;,1.0;0.75;,10,20,2.5
Side Hip,2,Gluteus maximus;Hamstrings;Quadriceps;,0.5;0.25;0.25;,10,15,2.5
Skull Crusher,0,Triceps;Forearms;,1.0;0.25;,10,20,2.0
Triceps Pull (Overhead)(Lower),2,Trapezius;Front Delts;Back Delts;Latissimus dorsi;Triceps;,0.5;0.25;0.25;0.25;1.0;,10,16,2.5
Bentover Row,0,Trapezius;Back Delts;Latissimus dorsi;,0.75;0.5;0.5;,10,16,5.0
Leg Extension,1,Abdominals;Quadriceps;,0.25;1.0;,10,20,5.0
